epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.589,1.67174,1.26705,1.1863,0.35534,0.39528,0.3137,0.16415,1.62894,1.35033,1.15921,0.000471963,0.000471963,0.000471963
2,920.324,1.70652,1.08626,1.19357,0.45748,0.37329,0.31612,0.17248,1.6474,1.25033,1.19389,0.000945725,0.000945725,0.000945725
3,1393.37,1.77189,1.10729,1.22155,0.58791,0.37234,0.40068,0.19167,1.76712,1.43438,1.21489,0.00140922,0.00140922,0.00140922
4,1836.77,1.78282,1.10922,1.2163,0.37624,0.46661,0.36431,0.20296,1.58886,1.16773,1.14146,0.00139438,0.00139438,0.00139438
5,2283.3,1.72785,1.04265,1.19306,0.66332,0.44358,0.45776,0.25609,1.60577,1.12401,1.14353,0.00136785,0.00136785,0.00136785
6,2727.23,1.69529,1.02096,1.17789,0.57148,0.47797,0.43526,0.27045,1.49413,1.03802,1.10145,0.00133423,0.00133423,0.00133423
7,3173.6,1.6457,0.98213,1.16478,0.67024,0.46155,0.50791,0.29321,1.47923,1.02364,1.09377,0.00129391,0.00129391,0.00129391
8,3618.61,1.6351,0.97076,1.1575,0.61031,0.5226,0.55537,0.29099,1.4981,1.05652,1.09118,0.00124731,0.00124731,0.00124731
9,4066.99,1.61655,0.94999,1.15489,0.66103,0.54692,0.56512,0.32266,1.42021,0.95873,1.06506,0.00119496,0.00119496,0.00119496
10,4513.85,1.60156,0.92686,1.1395,0.66787,0.52389,0.54657,0.3074,1.42862,0.93046,1.07592,0.00113742,0.00113742,0.00113742
11,4958.15,1.56955,0.89994,1.12028,0.64037,0.54277,0.52638,0.28572,1.40282,0.91394,1.07024,0.00107532,0.00107532,0.00107532
12,5402.97,1.53718,0.87063,1.12595,0.61106,0.58537,0.57245,0.32209,1.38175,0.91281,1.05567,0.00100935,0.00100935,0.00100935
13,5849.07,1.51562,0.85741,1.11802,0.67678,0.59919,0.58081,0.33954,1.3246,0.86874,1.024,0.00094023,0.00094023,0.00094023
14,6295.24,1.49152,0.84055,1.09833,0.65418,0.57266,0.55494,0.33506,1.29612,0.84987,1.01967,0.000868712,0.000868712,0.000868712
15,6742.62,1.49007,0.83946,1.10011,0.70776,0.55355,0.56672,0.33913,1.29214,0.83432,1.01559,0.000795584,0.000795584,0.000795584
16,7185.84,1.46857,0.82743,1.0944,0.69839,0.5636,0.60829,0.33927,1.27163,0.83616,1.01439,0.000721645,0.000721645,0.000721645
17,7637.58,1.45948,0.81139,1.09258,0.78316,0.59428,0.63917,0.37441,1.25395,0.8089,1.00269,0.000647706,0.000647706,0.000647706
18,8097.16,1.44045,0.79923,1.07662,0.79666,0.55779,0.618,0.37486,1.22926,0.78812,1.00611,0.000574578,0.000574578,0.000574578
19,8552.98,1.43825,0.78635,1.08205,0.7845,0.59589,0.65354,0.41285,1.22257,0.78719,0.99922,0.00050306,0.00050306,0.00050306
20,8999.96,1.4205,0.77351,1.07985,0.7714,0.62809,0.65937,0.41157,1.2045,0.76209,0.99838,0.000433938,0.000433938,0.000433938
21,9442.28,1.37611,0.74157,1.08512,0.80456,0.58781,0.6433,0.39329,1.2151,0.75507,0.9945,0.000367968,0.000367968,0.000367968
22,9889.34,1.36743,0.72507,1.07713,0.75478,0.57902,0.59459,0.38043,1.20172,0.74621,0.99312,0.000305872,0.000305872,0.000305872
23,10358,1.35437,0.70727,1.06781,0.79104,0.62846,0.65942,0.40742,1.17011,0.72973,0.97775,0.000248332,0.000248332,0.000248332
24,10802.7,1.3293,0.69936,1.06225,0.7385,0.66311,0.67173,0.41424,1.1574,0.72249,0.97829,0.000195978,0.000195978,0.000195978
25,11247.5,1.30775,0.68338,1.06261,0.80696,0.6154,0.68623,0.42234,1.15588,0.7207,0.97831,0.000149383,0.000149383,0.000149383
26,11691.9,1.31036,0.68001,1.0574,0.77826,0.63357,0.66701,0.42241,1.15465,0.71086,0.97933,0.000109058,0.000109058,0.000109058
27,12138.8,1.29506,0.671,1.04612,0.77948,0.63177,0.66381,0.41792,1.1388,0.70451,0.97412,7.54441e-05,7.54441e-05,7.54441e-05
28,12584.4,1.29415,0.66983,1.04845,0.7775,0.63261,0.67342,0.42595,1.13127,0.69792,0.97307,4.89104e-05,4.89104e-05,4.89104e-05
29,13030.2,1.28537,0.66107,1.04799,0.74912,0.64041,0.67009,0.42461,1.13199,0.69458,0.97399,2.97474e-05,2.97474e-05,2.97474e-05
30,13475.9,1.28441,0.66175,1.04774,0.76456,0.63694,0.67465,0.43656,1.12678,0.69264,0.97237,1.8165e-05,1.8165e-05,1.8165e-05
