epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,8180.96,0.61325,0.36612,0.91559,0.92988,0.93479,0.95433,0.83884,0.90855,0.50672,1.10949,0.000289692,0.000289692,0.000289692
46,8365.3,0.60092,0.35955,0.91579,0.94781,0.91707,0.95442,0.84094,0.9015,0.51941,1.1091,0.000258355,0.000258355,0.000258355
47,8549.55,0.59652,0.35526,0.91293,0.93941,0.92608,0.95459,0.83826,0.90754,0.5138,1.11388,0.000228618,0.000228618,0.000228618
48,8734.09,0.58831,0.35294,0.911,0.94209,0.9209,0.95414,0.83853,0.90771,0.51839,1.11094,0.000200561,0.000200561,0.000200561
49,8918.53,0.58663,0.35264,0.90899,0.93049,0.9327,0.95487,0.84212,0.90233,0.51392,1.11091,0.000174262,0.000174262,0.000174262
50,9102.9,0.57732,0.34712,0.90772,0.94318,0.92073,0.95605,0.84031,0.89662,0.50878,1.11226,0.000149793,0.000149793,0.000149793
51,9278.55,0.51456,0.30015,0.86758,0.93925,0.93006,0.95742,0.84657,0.9032,0.50625,1.1203,0.000127221,0.000127221,0.000127221
52,9454.2,0.50077,0.29302,0.86604,0.94279,0.92838,0.95601,0.84862,0.90252,0.50581,1.11677,0.000106608,0.000106608,0.000106608
53,9629.63,0.49647,0.29006,0.86099,0.93997,0.93414,0.95595,0.84755,0.89798,0.50794,1.11664,8.80093e-05,8.80093e-05,8.80093e-05
54,9804.87,0.48712,0.28688,0.86105,0.93692,0.93406,0.95602,0.84926,0.90307,0.51254,1.12532,7.14771e-05,7.14771e-05,7.14771e-05
55,9980.49,0.47676,0.28045,0.85913,0.93966,0.93095,0.95618,0.84895,0.90651,0.50773,1.12581,5.70564e-05,5.70564e-05,5.70564e-05
56,10156.1,0.4786,0.28079,0.85753,0.93875,0.92968,0.95566,0.85044,0.90298,0.50612,1.12371,4.47868e-05,4.47868e-05,4.47868e-05
57,10331.5,0.47762,0.28067,0.8587,0.94471,0.92764,0.95524,0.84913,0.90381,0.50871,1.12488,3.47018e-05,3.47018e-05,3.47018e-05
58,10506.5,0.46976,0.27866,0.85367,0.94119,0.93173,0.95604,0.85033,0.89768,0.50436,1.12231,2.68292e-05,2.68292e-05,2.68292e-05
59,10681.7,0.4674,0.27682,0.85346,0.9435,0.92572,0.9555,0.85027,0.90106,0.50857,1.12648,2.11903e-05,2.11903e-05,2.11903e-05
60,10856.7,0.47083,0.27757,0.85405,0.94123,0.93104,0.95561,0.85157,0.90173,0.51011,1.12727,1.78009e-05,1.78009e-05,1.78009e-05
