epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,401.086,1.40393,1.08957,1.24949,0.34394,0.67863,0.40228,0.23036,1.6359,5.07605,1.72823,0.000552082,0.000552082,0.000552082
2,205.559,1.52136,1.08323,1.35785,0.46698,0.53112,0.45097,0.2197,1.8167,2.26042,1.85835,0.0011077,0.0011077,0.0011077
3,394.091,1.44912,1.01841,1.32195,0.72601,0.74533,0.76586,0.47346,1.46808,1.05708,1.47433,0.00165961,0.00165961,0.00165961
4,581.029,1.31682,0.88157,1.24082,0.82496,0.83965,0.86733,0.56582,1.37681,0.91174,1.42369,0.00165684,0.00165684,0.00165684
5,771.902,1.27799,0.83504,1.21558,0.83337,0.83383,0.88354,0.62564,1.29085,0.90155,1.28705,0.00164897,0.00164897,0.00164897
6,959.843,1.20707,0.77793,1.18024,0.83403,0.83902,0.90294,0.66266,1.25526,0.83317,1.29597,0.00163888,0.00163888,0.00163888
7,1148.92,1.16712,0.76345,1.16556,0.85778,0.88419,0.91481,0.68507,1.18497,0.72755,1.25167,0.00162661,0.00162661,0.00162661
8,1333.4,1.11466,0.70707,1.13445,0.89092,0.87476,0.92384,0.70807,1.18942,0.7389,1.27201,0.00161219,0.00161219,0.00161219
9,1518.22,1.09817,0.69121,1.12422,0.904,0.87801,0.92774,0.72176,1.10814,0.70601,1.19203,0.00159566,0.00159566,0.00159566
10,1704.95,1.06258,0.66363,1.10594,0.90927,0.87197,0.92833,0.74269,1.10952,0.70221,1.22494,0.00157706,0.00157706,0.00157706
11,1889.48,1.03648,0.64747,1.0918,0.90581,0.89033,0.94009,0.74541,1.09012,0.65645,1.17267,0.00155645,0.00155645,0.00155645
12,2073.83,1.00763,0.63426,1.08608,0.91009,0.88163,0.93343,0.74149,1.08603,0.65331,1.18046,0.00153388,0.00153388,0.00153388
13,2258.74,0.98564,0.60644,1.06864,0.93205,0.89412,0.93679,0.75446,1.06439,0.64738,1.16403,0.00150941,0.00150941,0.00150941
14,2443.75,0.96532,0.59423,1.05964,0.92415,0.9006,0.93881,0.76376,1.06658,0.62926,1.1518,0.00148311,0.00148311,0.00148311
15,2628.66,0.94365,0.58001,1.04934,0.93706,0.89523,0.94319,0.77173,1.02233,0.5865,1.16064,0.00145505,0.00145505,0.00145505
16,2813.21,0.94059,0.57412,1.04787,0.9164,0.90703,0.94279,0.77206,1.01882,0.61522,1.15284,0.00142531,0.00142531,0.00142531
17,3013.47,0.91306,0.55868,1.03346,0.93117,0.89802,0.9423,0.77755,1.05018,0.62093,1.16231,0.00139398,0.00139398,0.00139398
18,3198.34,0.89928,0.54812,1.0319,0.9203,0.90753,0.94328,0.77535,1.02228,0.61175,1.15462,0.00136113,0.00136113,0.00136113
19,3383.16,0.89262,0.54784,1.0277,0.91822,0.92052,0.94591,0.79077,1.01443,0.57397,1.14264,0.00132685,0.00132685,0.00132685
20,3567.8,0.86861,0.53048,1.01793,0.92829,0.90006,0.94404,0.78411,0.99848,0.581,1.14223,0.00129125,0.00129125,0.00129125
21,3752.24,0.85214,0.51775,1.01034,0.91552,0.90924,0.94551,0.79704,0.97591,0.57341,1.13088,0.00125442,0.00125442,0.00125442
22,3936.95,0.83602,0.50642,1.00478,0.92925,0.89616,0.94638,0.79691,0.99181,0.56371,1.14393,0.00121645,0.00121645,0.00121645
23,4121.5,0.83784,0.50585,1.00403,0.92726,0.91172,0.94728,0.79775,1.02991,0.56863,1.15556,0.00117746,0.00117746,0.00117746
24,4306.49,0.82394,0.49924,0.99676,0.93316,0.91573,0.95175,0.80823,0.96896,0.57497,1.11822,0.00113755,0.00113755,0.00113755
25,4491.27,0.80652,0.48805,0.99102,0.94068,0.91209,0.9498,0.80353,0.98671,0.56109,1.13047,0.00109683,0.00109683,0.00109683
26,4675.62,0.80106,0.48256,0.98688,0.93442,0.9136,0.95024,0.80491,0.9669,0.55325,1.12281,0.0010554,0.0010554,0.0010554
27,4860.51,0.77303,0.46731,0.97681,0.92532,0.92111,0.94857,0.80845,0.96825,0.55864,1.1328,0.0010134,0.0010134,0.0010134
28,5045.62,0.77436,0.46561,0.9761,0.94759,0.90678,0.95207,0.8039,0.98498,0.55645,1.13359,0.000970919,0.000970919,0.000970919
29,5231.37,0.76341,0.45808,0.971,0.93631,0.92016,0.95218,0.81357,0.9728,0.5455,1.12102,0.000928088,0.000928088,0.000928088
30,5415.77,0.74322,0.44429,0.96635,0.94763,0.9103,0.95265,0.81673,0.96906,0.52801,1.12972,0.000885021,0.000885021,0.000885021
31,5600.47,0.74398,0.44615,0.96806,0.93518,0.91793,0.95347,0.82123,0.93608,0.53346,1.10862,0.000841835,0.000841835,0.000841835
32,5785.13,0.73326,0.43995,0.96052,0.94112,0.9249,0.95342,0.82276,0.9337,0.53033,1.10886,0.000798649,0.000798649,0.000798649
33,5969.43,0.71386,0.4268,0.95242,0.93463,0.9256,0.95449,0.82632,0.93129,0.52228,1.1122,0.000755582,0.000755582,0.000755582
34,6153.53,0.70481,0.42238,0.95084,0.94807,0.91423,0.9524,0.83047,0.93061,0.53197,1.11467,0.000712751,0.000712751,0.000712751
35,6338.25,0.70174,0.41907,0.94637,0.93188,0.92461,0.95194,0.82895,0.91258,0.53596,1.09959,0.000670274,0.000670274,0.000670274
36,6522.43,0.68406,0.40847,0.94242,0.93786,0.92018,0.95371,0.82686,0.91859,0.52108,1.10527,0.000628267,0.000628267,0.000628267
37,6706.86,0.68377,0.41057,0.94285,0.93578,0.92503,0.95396,0.83133,0.92772,0.51725,1.1072,0.000586845,0.000586845,0.000586845
38,6891.01,0.6706,0.39935,0.9388,0.94809,0.91726,0.95413,0.83488,0.93684,0.51416,1.11255,0.000546122,0.000546122,0.000546122
39,7075.23,0.65047,0.3887,0.9307,0.93673,0.9249,0.95416,0.83673,0.90746,0.52016,1.10508,0.00050621,0.00050621,0.00050621
40,7259.33,0.65544,0.39206,0.9318,0.95082,0.90943,0.95283,0.8294,0.92168,0.50881,1.10838,0.000467218,0.000467218,0.000467218
41,7443.42,0.64415,0.38483,0.92849,0.93881,0.92526,0.95456,0.84009,0.90782,0.5131,1.09167,0.000429253,0.000429253,0.000429253
42,7628.01,0.64294,0.38198,0.92624,0.95305,0.91141,0.95601,0.83904,0.9145,0.5118,1.10185,0.000392418,0.000392418,0.000392418
43,7812.3,0.62431,0.37371,0.91877,0.93859,0.92795,0.95617,0.83781,0.90603,0.52114,1.10401,0.000356815,0.000356815,0.000356815
44,7996.74,0.61711,0.36896,0.91748,0.93599,0.92877,0.9556,0.83974,0.90316,0.50933,1.10486,0.000322542,0.000322542,0.000322542
