epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,272.816,1.86526,1.3687,1.26915,0.45057,0.24536,0.25792,0.11525,1.93949,1.42507,1.17425,0.000469005,0.000469005,0.000469005
2,547.241,1.85398,1.11784,1.2378,0.48195,0.25773,0.28423,0.13082,1.97555,1.2409,1.19025,0.000942775,0.000942775,0.000942775
3,820.058,1.8642,1.09123,1.25724,0.25208,0.20162,0.13093,0.05058,2.38324,3.45617,1.32878,0.00140629,0.00140629,0.00140629
4,1095.74,1.87852,1.11071,1.2586,0.423,0.2097,0.22675,0.10709,2.11746,1.31213,1.29288,0.00139438,0.00139438,0.00139438
5,1402.03,1.84792,1.06148,1.23655,0.52934,0.28507,0.31715,0.15136,1.82951,1.15074,1.14341,0.00136785,0.00136785,0.00136785
6,1685.02,1.80923,1.02219,1.21609,0.48561,0.26771,0.30188,0.14418,1.9467,1.09087,1.15131,0.00133423,0.00133423,0.00133423
7,1974.82,1.82521,1.02145,1.22394,0.49395,0.28058,0.31163,0.15194,1.85399,1.07311,1.13332,0.00129391,0.00129391,0.00129391
8,2244.24,1.78943,0.98487,1.20891,0.5327,0.30301,0.335,0.16496,1.79487,1.05203,1.11149,0.00124731,0.00124731,0.00124731
9,2509.37,1.76599,0.96303,1.19747,0.52481,0.28745,0.32421,0.15914,1.81901,1.02639,1.11923,0.00119496,0.00119496,0.00119496
10,2775.65,1.75118,0.95111,1.20311,0.52168,0.30409,0.34215,0.16768,1.7957,0.98285,1.10742,0.00113742,0.00113742,0.00113742
11,3038.13,1.70558,0.89872,1.17525,0.56546,0.30195,0.34837,0.17848,1.70421,0.9685,1.08664,0.00107532,0.00107532,0.00107532
12,3299.64,1.69799,0.91183,1.17983,0.56951,0.30647,0.35315,0.17865,1.68962,0.93027,1.08757,0.00100935,0.00100935,0.00100935
13,3563.67,1.67679,0.89931,1.17434,0.56512,0.31526,0.35964,0.18255,1.6835,0.95031,1.07381,0.00094023,0.00094023,0.00094023
14,3843.65,1.67437,0.89217,1.16172,0.61251,0.3202,0.37094,0.18717,1.67278,0.97748,1.07259,0.000868712,0.000868712,0.000868712
15,4121.15,1.64972,0.85364,1.15514,0.58038,0.3243,0.36665,0.18899,1.64636,0.92728,1.07069,0.000795584,0.000795584,0.000795584
16,4381.5,1.64513,0.86556,1.15458,0.56438,0.32525,0.36292,0.18472,1.66814,0.95411,1.06657,0.000721645,0.000721645,0.000721645
17,4642.52,1.63688,0.8328,1.14365,0.62449,0.32699,0.38713,0.19838,1.61378,0.87984,1.04481,0.000647706,0.000647706,0.000647706
18,4904.21,1.61992,0.85386,1.14446,0.59115,0.33928,0.38448,0.19745,1.61266,0.88313,1.04698,0.000574578,0.000574578,0.000574578
19,5166.37,1.58185,0.82031,1.13054,0.62486,0.34213,0.3951,0.20654,1.58336,0.86292,1.04144,0.00050306,0.00050306,0.00050306
20,5427.78,1.56434,0.79749,1.12372,0.63565,0.33722,0.39809,0.2102,1.55472,0.83144,1.03812,0.000433938,0.000433938,0.000433938
21,5688.15,1.55348,0.78538,1.14265,0.61115,0.34047,0.39373,0.20928,1.54878,0.84232,1.03567,0.000367968,0.000367968,0.000367968
22,5947.79,1.52425,0.7661,1.13412,0.61172,0.35117,0.40174,0.21305,1.53099,0.83313,1.03009,0.000305872,0.000305872,0.000305872
23,6205.93,1.5213,0.75748,1.13866,0.63704,0.34712,0.4007,0.21443,1.52072,0.82364,1.02811,0.000248332,0.000248332,0.000248332
24,6463.41,1.50158,0.7462,1.13246,0.63468,0.335,0.39735,0.21335,1.53713,0.82032,1.0286,0.000195978,0.000195978,0.000195978
25,6722.97,1.4901,0.73286,1.12208,0.63459,0.3495,0.40625,0.21866,1.50466,0.80582,1.022,0.000149383,0.000149383,0.000149383
26,6986.11,1.47643,0.72691,1.12023,0.61689,0.35521,0.40874,0.22388,1.47361,0.79187,1.01432,0.000109058,0.000109058,0.000109058
27,7250.21,1.48314,0.71858,1.1172,0.61456,0.35497,0.40944,0.22323,1.46744,0.79055,1.01253,7.54441e-05,7.54441e-05,7.54441e-05
28,7511.51,1.46933,0.7173,1.12295,0.63766,0.34998,0.41068,0.22526,1.46247,0.78305,1.00993,4.89104e-05,4.89104e-05,4.89104e-05
29,7774.07,1.45518,0.7123,1.11022,0.6295,0.34926,0.40815,0.22255,1.46929,0.78649,1.01071,2.97474e-05,2.97474e-05,2.97474e-05
30,8033.31,1.44788,0.71059,1.10704,0.63816,0.35093,0.41203,0.22427,1.4673,0.78478,1.01052,1.8165e-05,1.8165e-05,1.8165e-05
